28,28,28,28,28,30,39,35,35,29,1,1,4,9,9,9,9,9,3,1
28,30,35,35,35,34,31,28,28,10,1,1,10,1,1,1,1,1,6,3
28,37,35,9,9,8,9,9,9,8,3,1,10,1,1,1,1,1,1,10
28,36,1,1,1,10,1,1,1,10,11,9,5,1,1,1,1,1,1,10
28,37,9,9,9,7,9,9,9,5,11,9,9,9,9,9,9,9,9,14
1,10,1,1,1,10,1,1,1,1,10,1,1,1,1,1,1,1,4,5
1,11,9,9,9,8,9,9,9,3,10,4,9,9,9,3,1,4,5,23
1,10,1,1,1,10,1,1,1,11,7,5,1,1,1,10,1,10,1,28
1,10,1,1,1,10,1,1,1,11,14,1,1,1,1,6,9,5,23,28
1,11,9,9,9,8,9,13,13,7,7,13,3,1,1,1,1,1,28,28
1,10,1,1,1,10,1,6,12,7,7,12,12,9,9,9,13,9,29,28
1,10,1,1,1,10,1,1,1,11,14,1,1,1,1,1,10,28,36,28
1,10,1,4,9,14,1,1,1,6,14,1,1,1,1,1,10,28,36,28
1,10,1,10,1,10,1,1,1,1,10,1,1,1,1,25,19,28,36,28
1,10,1,10,1,10,1,1,1,1,10,1,1,1,28,28,36,28,36,28
1,10,1,10,1,10,1,1,1,1,10,1,1,1,28,28,36,28,36,28
1,10,1,10,1,6,9,3,1,1,11,9,15,35,35,35,34,35,40,28
1,6,3,10,1,1,1,10,1,1,19,25,28,28,28,28,36,28,36,28
1,4,5,11,9,9,9,5,28,28,32,35,35,35,35,35,38,35,31,28
1,6,9,5,1,1,1,28,28,28,28,28,28,28,28,28,28,28,28,28
